Ref_ID,Cross_Ref_ID,Title,Authors,Year,Journal,Volume,Start_page,End_page,PubMed,Comment,Tissue_processing,Start_material,Prescreening,Material_sequenced,exon2,exon3,exon4,exon5,exon6,exon7,exon8,exon9,exon10,exon11,Exclude_analysis,WGS_WXS
1,,Chromosome 17 deletions and p53 gene mutations in colorectal carcinomas,Baker SJ;Fearon ER;Nigro JM;Hamilton SR;Preisinger AC;Jessup JM;van Tuinen P;Ledbetter DH;Barker DF;Nakamura Y;,1989,Science,244,217,221,0002649981,Add info from J. Field,frozen,RNA,RFLP,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,No
2,,Genetic and immunochemical analysis of mutant p53 in human breast cancer cell lines,Bartek J;Iggo R;Gannon J;Lane DP;,1990,Oncogene,5,893,899,0001694291,,,RNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
3,,Selective G to T mutations of p53 gene in hepatocellular carcinoma from southern Africa,Bressac B;Kew M;Wands J;Ozturk M;,1991,Nature,350,429,431,0001672732,,,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
4,,p53 gene mutations in Barrett's epithelium and esophageal cancer,Casson AG;Mukhopadhyay T;Cleary KR;Ro JY;Levin B;Roth JA;,1991,Cancer Res,51,4495,4499,0001868473,,fixed,DNA,SSCP,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
5,5,p53 mutations in colorectal cancer,Rodrigues NR;Rowan A;Smith ME;Kerr IB;Bodmer WF;Gannon JV;Lane DP;,1990,Proc Natl Acad Sci U S A,87,7555,7559,0001699228,See ref 7,,RNA,Mismatch cleavage,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
6,6,Efficient screening of p53 mutations by denaturing gradient gel electrophoresis in colorectal tumors,Hamelin R;Jego N;Laurent-Puig P;Vidaud M;Thomas G;,1993,Oncogene,8,2213,2220,0008336944,"Mutations reported in ref 759, added info from Kovar H, 1993 (STA-ET-2.1)",,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
7,7,Mutations in the p53 gene occur in diverse human tumour types,Nigro JM;Baker SJ;Preisinger AC;Jessup JM;Hostetter R;Cleary K;Bigner SH;Davidson N;Baylin S;Devilee P;,1989,Nature,342,705,708,0002531845,See ref 19,,RNA,none,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
8,,Aberrations of the tumor suppressor p53 and retinoblastoma genes in human hepatocellular carcinomas,Murakami Y;Hayashi K;Hirohashi S;Sekiya T;,1991,Cancer Res,51,5520,5525,0001655254,,frozen,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
9,9,Detection of aberrations of the p53 alleles and the gene transcript in human tumor cell lines by single-strand conformation polymorphism analysis,Murakami Y;Hayashi K;Sekiya T;,1991,Cancer Res,51,3356,3361,0002054775,Updated with ref 232,,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
10,,Mechanisms of p53 loss in human sarcomas,Mulligan LM;Matlashewski GJ;Scrable HJ;Cavenee WK;,1990,Proc Natl Acad Sci U S A,87,5863,5867,0002143022,,,RNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
11,,Chromosome 17p deletions and p53 gene mutations associated with the formation of malignant neurofibrosarcomas in von Recklinghausen neurofibromatosis,Menon AG;Anderson KM;Riccardi VM;Chung RY;Whaley JM;Yandell DW;Farmer GE;Freiman RN;Lee JK;Li FP;,1990,Proc Natl Acad Sci U S A,87,5435,5439,0002142531,,,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
12,,Detection of p53 gene mutations in human brain tumors by single-strand conformation polymorphism analysis of polymerase chain reaction products,Mashiyama S;Murakami Y;Yoshimoto T;Sekiya T;Hayashi K;,1991,Oncogene,6,1313,1318,0001886708,,,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
13,,"p53 mutations, ras mutations, and p53-heat shock 70 protein complexes in human lung carcinoma cell lines",Lehman TA;Bennett WP;Metcalf RA;Welsh JA;Ecker J;Modali RV;Ullrich S;Romano JW;Appella E;Testa JR;,1991,Cancer Res,51,4090,4096,0001855224,,fresh,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
14,,Increased expression of mutant forms of p53 oncogene in primary lung cancer,Iggo R;Gatter K;Bartek J;Lane D;Harris AL;,1990,Lancet,335,675,679,0001969059,,frozen,RNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
